Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,G. quota,Perdita quota,Lunghezza media passo,Media rapporto verticale,Media oscillazione verticale,Tempo medio di contatto con il suolo,Media bilanciamento TCS,Cadenza di corsa media,Cadenza di corsa max,Normalized Power® (NP®),Training Stress Score®,Potenza media massima (20 min),Potenza media,Potenza max,Grit,Flow,Totale bracciate,Swolf medio,Frequenza media vogate,Tempo sul fondale,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max
Corsa,2020-05-15 16:55:11,false,"Gazzaniga Corsa","7.97","777","01:18:22","143","189","3.7","106","249","9:50","4:54","644","664","0.96","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","21.0","0:00","No","07:05.22","8","0.0"
Corsa,2020-05-14 07:15:03,false,"Gazzaniga Corsa","8.62","720","00:47:10","166","191","4.5","161","194","5:28","4:00","298","296","1.14","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","03:57.71","9","0.0"
Corsa,2020-05-12 07:10:57,false,"Gazzaniga Corsa","8.52","664","00:48:05","155","180","3.7","158","170","5:39","4:06","294","273","1.12","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","18.0","0:00","No","03:29.88","9","0.0"
Ciclismo,2020-05-10 10:03:36,false,"Gazzaniga Ciclismo","59.71","1,792","02:27:14","152","190","4.6","--","--","24.3","61.7","1,373","1,309","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","19.0","0:00","No","06:34.49","12","0.0"
Ciclismo,2020-05-09 11:02:07,false,"Bergamo Ciclismo","23.60","690","00:57:43","136","167","3.0","--","--","24.5","41.2","446","65","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","26.0","0:00","No","09:41.100","5","0.0"
Ciclismo,2020-05-08 17:05:26,false,"Gazzaniga Ciclismo","23.50","426","00:44:41","124","153","1.7","--","--","31.6","55.1","85","471","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","26.0","0:00","No","07:46.64","5","0.0"
Ciclismo,2020-05-07 17:08:55,false,"Gazzaniga Ciclismo","25.00","974","01:13:21","146","174","4.0","--","--","20.4","51.4","774","173","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","09:19.00","5","0.0"
Corsa,2020-05-06 17:02:48,false,"Gazzaniga Corsa","10.01","798","00:53:48","161","176","4.6","158","235","5:23","4:07","304","306","1.18","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","00:01.38","11","0.0"
Ciclismo,2020-05-05 17:02:27,false,"Gazzaniga Ciclismo","49.64","1,312","02:02:01","144","179","3.3","--","--","24.4","57.0","1,096","1,000","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","21.0","0:00","No","06:39.03","10","0.0"
Ciclismo,2020-05-04 16:59:47,false,"Gazzaniga Ciclismo","42.20","1,490","01:50:59","159","192","5.0","--","--","22.8","59.1","1,083","1,015","0.00","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","20.0","0:00","No","07:12.92","9","0.0"
Corsa,2020-05-03 10:01:07,false,"Gazzaniga Corsa","5.01","457","00:30:52","159","187","3.8","157","218","6:10","4:20","239","279","1.03","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","23.0","0:00","No","00:02.32","6","0.0"
Ciclismo virtuale,2020-05-02 10:14:01,false,"Zwift - Watopia","17.29","947","01:05:10","--","--","0.0","--","--","15.9","53.1","1,009","--","0.00","0.0","0.0","--","--","59","81","267","0.0","283","256","350","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-04-29 18:00:00,false,"Zwift - Watopia","32.02","810","01:00:44","--","--","0.0","--","--","31.6","68.6","536","--","0.00","0.0","0.0","--","--","65","84","254","0.0","305","232","362","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-04-28 17:38:41,false,"Zwift - LOAD-UPs!","30.56","719","01:00:25","--","--","0.0","--","--","30.3","77.7","334","--","0.00","0.0","0.0","--","--","75","123","229","0.0","239","207","539","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:11.00","28","0.0"
Corsa,2020-04-27 17:26:06,false,"Gazzaniga Corsa","7.51","631","00:42:53","161","186","4.3","154","223","5:43","3:55","282","281","1.14","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","23.0","0:00","No","03:04.37","8","0.0"
Ciclismo virtuale,2020-04-26 13:33:21,false,"Zwift - Watopia","40.21","884","01:10:51","--","--","0.0","--","--","34.0","66.1","328","--","0.00","0.0","0.0","--","--","73","86","225","0.0","231","217","369","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-04-25 11:36:17,false,"Zwift - Watopia","43.25","1,137","01:25:59","--","--","0.0","--","--","30.2","78.9","662","--","0.00","0.0","0.0","--","--","71","88","242","0.0","280","229","372","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
Ciclismo virtuale,2020-04-23 17:13:54,false,"Zwift - The McCarthy Special","31.37","709","00:59:13","--","--","0.0","--","--","31.8","67.4","218","--","0.00","0.0","0.0","--","--","76","93","239","0.0","230","207","320","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:46.00","14","0.0"
Corsa,2020-04-22 17:06:33,false,"Gazzaniga Corsa","5.01","340","00:40:13","122","158","1.8","95","211","8:02","2:33","177","184","1.24","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","22.0","0:00","No","00:38.04","25","0.0"
Ciclismo virtuale,2020-04-21 10:44:01,false,"Zwift - London","41.42","989","01:20:01","--","--","0.0","--","--","31.1","78.0","510","--","0.00","0.0","0.0","--","--","72","87","223","0.0","239","215","352","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
